,2016,2015
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,18+  years,18+  years
Saint Vincent and the Grenadines,55.0 [49.5-60.5],54.1 [48.7-59.4]
Samoa,75.1 [70.8-79.3],74.7 [70.5-78.7]
San Marino,No data,No data
Sao Tome and Principe,31.6 [27.0-36.4],30.9 [26.5-35.3]
Saudi Arabia,69.0 [65.2-72.9],68.2 [64.5-71.8]
Senegal,24.9 [21.1-28.9],24.3 [20.8-28.1]
Serbia,60.7 [55.9-65.0],60.0 [55.6-64.2]
Seychelles,38.1 [33.0-43.4],37.4 [32.5-42.4]
Sierra Leone,24.9 [21.1-29.0],24.4 [20.8-28.2]
Singapore,33.6 [29.3-37.8],33.2 [29.2-37.3]
Slovakia,59.7 [54.9-64.4],59.1 [54.5-63.5]
Slovenia,60.7 [55.4-65.7],60.1 [55.0-64.9]
Solomon Islands,51.3 [45.7-57.1],50.5 [45.0-56.2]
Somalia,24.7 [20.4-29.3],24.3 [20.1-28.6]
South Africa,51.9 [47.9-56.0],51.1 [47.3-54.9]
South Sudan,No data,No data
Spain,67.2 [63.2-71.1],66.6 [62.9-70.3]
Sri Lanka,24.2 [20.2-28.3],23.4 [19.6-27.3]
Sudan,No data,No data
Sudan (former),25.7 [21.6-30.2],25.7 [21.7-30.1]
Suriname,59.0 [54.0-64.0],58.3 [53.5-63.2]
Sweden,59.9 [55.8-64.0],59.5 [55.6-63.3]
Switzerland,57.9 [53.5-61.9],57.4 [53.3-61.2]
Syrian Arab Republic,57.9 [53.0-62.8],57.1 [52.4-61.8]
Tajikistan,41.7 [36.5-47.2],40.7 [35.8-46.0]
Thailand,34.7 [30.2-39.4],33.6 [29.3-38.0]
Republic of North Macedonia,60.9 [55.8-65.8],60.3 [55.4-65.0]
Timor-Leste,17.9 [14.6-21.4],17.4 [14.3-20.8]
Togo,25.0 [21.1-29.1],24.3 [20.7-28.3]
Tonga,75.6 [71.2-79.7],75.2 [70.9-79.2]
Trinidad and Tobago,48.1 [41.6-54.7],47.1 [40.9-53.3]
Tunisia,62.2 [57.7-66.6],61.2 [57.0-65.4]
Turkey,66.9 [63.4-70.4],66.1 [62.8-69.5]
Turkmenistan,49.6 [44.4-54.7],48.6 [43.6-53.6]
Tuvalu,81.0 [77.1-84.5],80.4 [76.7-83.9]
Uganda,19.0 [15.6-22.5],18.5 [15.4-21.9]
Ukraine,61.9 [56.4-67.4],61.3 [56.0-66.6]
United Arab Emirates,65.9 [60.7-71.0],64.2 [59.3-69.3]
United Kingdom,67.2 [64.3-70.0],66.6 [63.9-69.2]
Tanzania,24.5 [20.9-28.3],23.8 [20.5-27.4]
United States,70.2 [66.8-73.3],69.6 [66.5-72.6]
Uruguay,64.5 [59.8-69.2],64.0 [59.4-68.4]
Uzbekistan,45.7 [40.5-51.0],44.7 [39.8-49.8]
Vanuatu,54.1 [48.0-60.1],53.3 [47.4-59.0]
Venezuela,62.6 [58.4-66.9],62.1 [58.0-66.1]
Vietnam,18.3 [14.7-21.7],17.5 [14.3-20.7]
Yemen,42.3 [37.5-47.3],41.3 [36.8-46.1]
Zambia,23.9 [20.2-27.9],23.4 [19.8-27.1]
Zimbabwe,32.4 [28.2-36.8],31.8 [27.7-36.0]
